author,nationality,gender
Andy Adams,a,m
Arthur Conan Doyle,b,m
Edith Nesbit,b,f
Edith Wharton,a,f
Emerson Hough,a,m
Frances Burnett,a,f
Francis Marion Crawford,a,m
George Augustus Moore,b,m
George Gissing,b,m
Gertrude Atherton,a,f
Gilbert Parker,c,m
Grant Allen,c,m
Hall Caine,b,m
Henry Rider Haggard,b,m
Henry Seton Merriman,b,m
Mrs. Humphrey Ward,b,f
Irving Bacheller,a,m
Jerome Kapla Jerome,b,m
Kate Douglas Wiggin,a,f
Lyman Frank Baum,a,m
Marie Corelli,b,f
Ralph Connor,c,m
Robert Barr,c,m
Robert Louis Stevenson,b,m
Stanley John Weyman,b,m
